"SubID","absavg_learning","minavg_learning","outlier_Learning_Age","absavg_recall","minavg_recall","outlier_Recall_Age","block","CorrectRecallOld","ForgetRecallOld","CorrectRecallNew","NewRecallOld","AgeGroup","ToD_Condition","z_CorrectRecallOld","z_ForgetRecallOld","z_CorrectRecallNew","z_NewRecallOld","Outlier_Block_CorrectRecallOld","Outlier_Block_ForgetRecallOld","Outlier_Block_CorrectRecallNew","Outlier_Block_NewRecallOld","Outlier_Block_Any","Chance_CorrectRecallOverall","HitRate","FalseAlarmRate","RecognitionScore","z_HitRate","z_FalseAlarmRate","z_RecognitionScore","HR_outlier","FA_outlier","Rec_outlier","ExpFormat","collected_by"
"Sub012_ToD_Online",4.13793103448276,0.586206896551724,FALSE,20.3620689655172,7.18965517241379,FALSE,"Overall",58,2,24,0,"YA","Night",1.25794760393102,-1.26143200950597,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.966666666666667,0,0.966666666666667,1.36642935455873,-0.824606226461121,1.47746663491284,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub013_ToD_Online",11.1428571428571,3.79591836734694,FALSE,56.9795918367347,-6.04081632653061,FALSE,"Overall",49,11,22,1,"YA","Night",0.28783546869608,-0.27280730540512,-0.288953343001503,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.816666666666667,0.0434782608695652,0.773188405797101,0.404073384882855,0.0277524921268155,0.356651846349119,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub014_ToD_Online",6.12,0.04,FALSE,27.22,-6.66,FALSE,"Overall",50,10,24,0,"YA","Night",0.395625705944407,-0.382654494749659,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833333333333333,0,0.833333333333333,0.511001825957953,-0.824606226461121,0.705069926689151,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub015_ToD_Online",8.47727272727273,-0.295454545454545,FALSE,64,3.77272727272727,FALSE,"Overall",44,16,24,0,"YA","Night",-0.251115717545551,0.276428641317577,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.733333333333333,0,0.733333333333333,-0.130568820492633,-0.824606226461121,0.125772395521386,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub016_ToD_Online",11.1,3.82,FALSE,51.02,-2.42,FALSE,"Overall",50,10,24,0,"OA","Night",0.395625705944407,-0.382654494749659,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833333333333333,0,0.833333333333333,0.251290293671526,-0.545069094657253,0.536978926505225,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub017_ToD_Online",6.25862068965517,-1.87931034482759,FALSE,18.7241379310345,4.20689655172414,FALSE,"Overall",58,2,24,0,"OA","Night",1.25794760393102,-1.26143200950597,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.966666666666667,0,0.966666666666667,1.14863409240232,-0.545069094657253,1.27162656224497,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub018_ToD_Online",9.46428571428571,-5.53571428571429,FALSE,59,-15.0714285714286,FALSE,"Overall",28,30,22,2,"OA","Night",-1.97575951351877,1.81428929214113,-0.288953343001503,0.388632173564987,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.482758620689655,0.0833333333333333,0.399425287356322,-2.10810503919824,0.210466848777505,-1.85379247428577,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub019_ToD_Online",7.80851063829787,0.659574468085106,FALSE,32.2553191489362,4.59574468085106,FALSE,"Overall",47,13,23,1,"OA","Night",0.0722549941994277,-0.053112926716041,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.783333333333333,0.0416666666666667,0.741666666666667,-0.0852136308525229,-0.167301122939874,0.0319086769341468,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub020_ToD_Online",6.71929824561404,2.08771929824561,FALSE,27.2631578947368,9.12280701754386,FALSE,"Overall",57,3,23,1,"YA","Morning",1.15015736668269,-1.15158482016143,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.95,0.0416666666666667,0.908333333333333,1.25950091348364,-0.00776245448101521,1.13954307506497,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub021_ToD_Online",4.50877192982456,1.35087719298246,FALSE,31.1228070175439,-3.2280701754386,FALSE,"Overall",57,3,24,0,"YA","Morning",1.15015736668269,-1.15158482016143,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.95,0,0.95,1.25950091348364,-0.824606226461121,1.38091704638488,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub022_ToD_Online",8.11764705882353,4.94117647058824,FALSE,37.5,-0.852941176470588,FALSE,"Overall",34,26,24,0,"YA","Morning",-1.32901809002881,1.37490053476297,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.566666666666667,0,0.566666666666667,-1.19985323124361,-0.824606226461121,-0.839723489758221,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub023_ToD_Online",6.53658536585366,0.146341463414634,FALSE,35.1463414634146,1.63414634146341,FALSE,"Overall",41,19,22,2,"YA","Morning",-0.57448642929053,0.605970209351195,-0.288953343001503,0.388632173564987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.683333333333333,0.0833333333333333,0.6,-0.451354143717926,0.809081317499091,-0.6466243127023,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub024_ToD_Online",4,-0.115384615384615,FALSE,20.5,3.15384615384615,FALSE,"Overall",52,8,22,2,"YA","Night",0.611206180441059,-0.602348873438738,-0.288953343001503,0.388632173564987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.866666666666667,0.0833333333333333,0.783333333333333,0.724858708108148,0.809081317499091,0.415421161105269,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub025_ToD_Online",12.7118644067797,3.28813559322034,FALSE,13.3728813559322,1.91525423728814,FALSE,"Overall",59,1,24,0,"YA","Night",1.36573784117934,-1.37127919885051,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.983333333333333,0,0.983333333333333,1.47335779563383,-0.824606226461121,1.5740162234408,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub026_ToD_Online",4.75757575757576,0.818181818181818,FALSE,72.6060606060606,2.48484848484848,FALSE,"Overall",33,26,20,3,"YA","Night",-1.43680832727714,1.37490053476297,-1.2451262234792,0.879820059598513,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.559322033898305,0.130434782608696,0.428887251289609,-1.24697423917501,1.73246992930269,-1.63787624149489,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub027_ToD_Online",2.91304347826087,-1.26086956521739,FALSE,15.4565217391304,-3.41304347826087,FALSE,"Overall",46,14,24,0,"YA","Morning",-0.0355352430488987,0.0567342626284984,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.766666666666667,0,0.766666666666667,0.0832880616575625,-0.824606226461121,0.318871572577308,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub028_ToD_Online",7.91666666666667,-1.97222222222222,FALSE,67.5277777777778,-4.63888888888889,FALSE,"Overall",36,24,23,1,"YA","Morning",-1.11343761553216,1.15520615607389,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6,0.0416666666666667,0.558333333333333,-0.985996349093414,-0.00776245448101521,-0.887998284022201,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub029_ToD_Online",8.34883720930233,-1.7906976744186,FALSE,38.6279069767442,-5.37209302325581,FALSE,"Overall",43,17,23,1,"YA","Morning",-0.358905954793878,0.386275830662117,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.716666666666667,0.0416666666666667,0.675,-0.237497261567731,-0.00776245448101521,-0.212151164326476,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub030_ToD_Online",13.4848484848485,-5.48484848484848,FALSE,101.969696969697,-3.42424242424242,FALSE,"Overall",33,23,20,2,"YA","Morning",-1.43680832727714,1.04535896672935,-1.2451262234792,0.388632173564987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.589285714285714,0.0909090909090909,0.498376623376623,-1.05473606121312,0.957598366950019,-1.23532602457084,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub031_ToD_Online",8.14893617021277,4.06382978723404,FALSE,86.5957446808511,-23.4042553191489,FALSE,"Overall",47,13,20,4,"YA","Morning",0.0722549941994277,-0.053112926716041,-1.2451262234792,1.37100794563204,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.783333333333333,0.166666666666667,0.616666666666667,0.19021650273266,2.4427688614593,-0.550074724174338,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub032_ToD_Online",6.62857142857143,0.742857142857143,FALSE,73.8285714285714,-3.6,FALSE,"Overall",35,25,24,0,"YA","Morning",-1.22122785278049,1.26505334541843,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.583333333333333,0,0.583333333333333,-1.09292479016851,-0.824606226461121,-0.74317390123026,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub033_ToD_Online",6.23913043478261,-0.673913043478261,FALSE,59.304347826087,3.47826086956522,FALSE,"Overall",46,14,23,1,"YA","Morning",-0.0355352430488987,0.0567342626284984,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.766666666666667,0.0416666666666667,0.725,0.0832880616575625,-0.00776245448101521,0.0774976012574067,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub034_ToD_Online",6.32758620689655,2.46551724137931,FALSE,19.0344827586207,-3.06896551724138,FALSE,"Overall",58,2,24,0,"YA","Morning",1.25794760393102,-1.26143200950597,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.966666666666667,0,0.966666666666667,1.36642935455873,-0.824606226461121,1.47746663491284,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub035_ToD_Online",10.8653846153846,0.826923076923077,FALSE,31.8846153846154,-8.80769230769231,FALSE,"Overall",52,8,23,0,"YA","Morning",0.611206180441059,-0.602348873438738,0.189133097237346,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.866666666666667,0,0.866666666666667,0.724858708108148,-0.824606226461121,0.898169103745073,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub036_ToD_Online",8.75,-0.8,FALSE,60.3,10.95,FALSE,"Overall",40,20,21,1,"YA","Morning",-0.682276666538857,0.715817398695735,-0.767039783240352,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.666666666666667,0.0454545454545455,0.621212121212121,-0.558282584793024,0.066496070244449,-0.523743018212168,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub037_ToD_Online",11.3478260869565,-1.69565217391304,FALSE,30.5869565217391,2.28260869565217,FALSE,"Overall",46,14,24,0,"YA","Morning",-0.0355352430488987,0.0567342626284984,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.766666666666667,0,0.766666666666667,0.0832880616575625,-0.824606226461121,0.318871572577308,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub038_ToD_Online",5.63157894736842,0.964912280701754,FALSE,7.52631578947368,3.59649122807018,FALSE,"Overall",57,3,24,0,"YA","Morning",1.15015736668269,-1.15158482016143,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.95,0,0.95,1.25950091348364,-0.824606226461121,1.38091704638488,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub039_ToD_Online",9.84444444444444,0.111111111111111,FALSE,74.0222222222222,0.333333333333333,FALSE,"Overall",45,15,24,0,"YA","Morning",-0.143325480297225,0.166581451973038,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0,0.75,-0.0236403794175355,-0.824606226461121,0.222321984049347,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub040_ToD_Online",27.4324324324324,-2.08108108108108,FALSE,87,-6.51351351351351,FALSE,"Overall",37,23,20,4,"OA","Morning",-1.00564737828384,1.04535896672935,-1.2451262234792,1.37100794563204,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.616666666666667,0.166666666666667,0.45,-1.20689337926602,0.966002792212263,-1.57513302624656,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub041_ToD_Online",10.6578947368421,3.13157894736842,FALSE,52.5,-9.13157894736842,FALSE,"Overall",38,22,22,2,"OA","Morning",-0.89785714103551,0.935511777384814,-0.288953343001503,0.388632173564987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.633333333333333,0.0833333333333333,0.55,-1.09472540442467,0.210466848777505,-1.02414729944174,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub042_ToD_Online",7.76923076923077,0.730769230769231,FALSE,20.4230769230769,-0.115384615384615,FALSE,"Overall",52,8,24,0,"OA","Morning",0.611206180441059,-0.602348873438738,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.866666666666667,0,0.866666666666667,0.475626243354226,-0.545069094657253,0.720640835440162,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub043_ToD_Online",4.96551724137931,0.0689655172413793,FALSE,20.2241379310345,-2.91379310344828,FALSE,"Overall",58,2,24,0,"OA","Morning",1.25794760393102,-1.26143200950597,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.966666666666667,0,0.966666666666667,1.14863409240232,-0.545069094657253,1.27162656224497,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub044_ToD_Online",9.30769230769231,-0.538461538461538,FALSE,86.7884615384615,-16.9807692307692,FALSE,"Overall",52,8,22,1,"OA","Morning",0.611206180441059,-0.602348873438738,-0.288953343001503,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.866666666666667,0.0434782608695652,0.823188405797102,0.475626243354226,-0.150876428517379,0.481081823785896,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub045_ToD_Online",5.55932203389831,1.05084745762712,FALSE,12.8135593220339,2.40677966101695,FALSE,"Overall",59,1,24,0,"OA","Morning",1.36573784117934,-1.37127919885051,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.983333333333333,0,0.983333333333333,1.26080206724367,-0.545069094657253,1.36345751671244,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub046_ToD_Online",7.70833333333333,-0.416666666666667,FALSE,38.8333333333333,-6.45833333333333,FALSE,"Overall",48,12,24,0,"OA","Night",0.180045231447754,-0.16296011606058,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0,0.8,0.0269543439888272,-0.545069094657253,0.353317017570287,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub047_ToD_Online",10.8292682926829,-4.73170731707317,FALSE,83.9512195121951,-22.2926829268293,FALSE,"Overall",41,19,23,1,"OA","Night",-0.57448642929053,0.605970209351195,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.683333333333333,0.0416666666666667,0.641666666666667,-0.758221479900621,-0.167301122939874,-0.519077049870665,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub048_ToD_Online",10.7333333333333,-1.35555555555556,FALSE,88.8222222222222,5.31111111111111,FALSE,"Overall",45,15,17,7,"OA","Night",-0.143325480297225,0.166581451973038,-2.67938554419575,2.84457160373262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0.291666666666667,0.458333333333333,-0.309549580535222,2.0993067073644,-1.52921754901282,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub049_ToD_Online",13.046511627907,-3.27906976744186,FALSE,60.5348837209302,-5.69767441860465,FALSE,"Overall",43,17,24,0,"OA","Morning",-0.358905954793878,0.386275830662117,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.716666666666667,0,0.716666666666667,-0.533885530217922,-0.545069094657253,-0.105837754767056,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub050_ToD_Online",8.33333333333333,-1.51851851851852,FALSE,30.5,-3.98148148148148,FALSE,"Overall",54,6,24,0,"OA","Morning",0.826786654937712,-0.822043252127817,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.9,0,0.9,0.699962193036925,-0.545069094657253,0.904302744375099,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub051_ToD_Online",5.86792452830189,-0.39622641509434,FALSE,29.6792452830189,-8.32075471698113,FALSE,"Overall",53,7,24,0,"OA","Morning",0.718996417689386,-0.712196062783277,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.883333333333333,0,0.883333333333333,0.587794218195575,-0.545069094657253,0.81247178990763,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub052_ToD_Online",4.375,1.625,FALSE,41.825,0.275,FALSE,"Overall",40,20,22,2,"OA","Morning",-0.682276666538857,0.715817398695735,-0.288953343001503,0.388632173564987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.666666666666667,0.0833333333333333,0.583333333333333,-0.870389454741971,0.210466848777505,-0.840485390506806,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub053_ToD_Online",5.45454545454545,0.590909090909091,FALSE,56.8409090909091,-3.11363636363636,FALSE,"Overall",44,16,24,0,"OA","Morning",-0.251115717545551,0.276428641317577,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.733333333333333,0,0.733333333333333,-0.421717555376572,-0.545069094657253,-0.014006800299588,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub055_ToD_Online",9.37254901960784,3.76470588235294,FALSE,94.9607843137255,-2.25490196078431,FALSE,"Overall",51,9,24,0,"OA","Morning",0.503415943192733,-0.492501684094199,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0,0.85,0.363458268512876,-0.545069094657253,0.628809880972693,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub056_ToD_Online",2.3,0.1,FALSE,81.7,-2.34,FALSE,"Overall",50,9,20,3,"OA","Morning",0.395625705944407,-0.492501684094199,-1.2451262234792,0.879820059598513,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.847457627118644,0.130434782608696,0.717022844509948,0.34634789946928,0.637508903762368,-0.103875265688533,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub057_ToD_Online",9.92307692307692,2.8974358974359,FALSE,52.9487179487179,-14.0769230769231,FALSE,"Overall",39,21,23,1,"OA","Morning",-0.790066903787183,0.825664588040274,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.0416666666666667,0.608333333333333,-0.98255742958332,-0.167301122939874,-0.702738958805603,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub059_ToD_Online",3.96610169491525,-1.01694915254237,FALSE,6.15254237288136,-0.525423728813559,FALSE,"Overall",59,1,24,0,"OA","Morning",1.36573784117934,-1.37127919885051,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.983333333333333,0,0.983333333333333,1.26080206724367,-0.545069094657253,1.36345751671244,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub060_ToD_Online",9.07272727272727,-0.0909090909090909,FALSE,51.0363636363636,-14.5272727272727,FALSE,"Overall",55,5,24,0,"OA","Morning",0.934576892186038,-0.931890441472356,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.916666666666667,0,0.916666666666667,0.812130167878275,-0.545069094657253,0.996133698842568,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub061_ToD_Online",6.16326530612245,-1.30612244897959,FALSE,25.7959183673469,-1.30612244897959,FALSE,"Overall",49,10,24,0,"YA","Morning",0.28783546869608,-0.382654494749659,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.830508474576271,0,0.830508474576271,0.492878361368953,-0.824606226461121,0.688705589650514,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub062_ToD_Online",5.95833333333333,-1.20833333333333,FALSE,27.5208333333333,4.64583333333333,FALSE,"Overall",48,12,23,1,"YA","Night",0.180045231447754,-0.16296011606058,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8,0.0416666666666667,0.758333333333333,0.297144943807758,-0.00776245448101521,0.270596778313328,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub063_ToD_Online",5.27906976744186,0.86046511627907,FALSE,22.6279069767442,-2.06976744186047,FALSE,"Overall",43,17,23,1,"YA","Night",-0.358905954793878,0.386275830662117,0.189133097237346,-0.102555712468538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.716666666666667,0.0416666666666667,0.675,-0.237497261567731,-0.00776245448101521,-0.212151164326476,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub064_ToD_Online",7.54545454545455,2.40909090909091,FALSE,49.0454545454545,0.590909090909091,FALSE,"Overall",44,16,24,0,"YA","Night",-0.251115717545551,0.276428641317577,0.667219537476195,-0.593743598502064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.733333333333333,0,0.733333333333333,-0.130568820492633,-0.824606226461121,0.125772395521386,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub065_ToD_Online",8.0188679245283,-0.584905660377358,FALSE,51.6415094339623,-0.320754716981132,FALSE,"Overall",53,7,22,2,"YA","Night",0.718996417689386,-0.712196062783277,-0.288953343001503,0.388632173564987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.883333333333333,0.0833333333333333,0.8,0.831787149183245,0.809081317499091,0.511970749633229,FALSE,FALSE,FALSE,"Non_Video","Julia"
"Sub066_ToD_Online",6.64912280701754,1.42105263157895,FALSE,51.5438596491228,19.6491228070175,FALSE,"Overall",57,3,21,3,"YA","Night",1.15015736668269,-1.15158482016143,-0.767039783240352,0.879820059598513,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.95,0.125,0.825,1.25950091348364,1.6259250894792,0.65679513242517,FALSE,FALSE,FALSE,"Non_Video","Julia"
